frequency wavelength transmittance reflectance
0.050000 20.000000 1.000000 0.000000
0.054082 18.490566 1.000000 0.000000
0.058163 17.192982 1.000000 0.000000
0.062245 16.065574 1.000000 0.000000
0.066327 15.076923 1.000000 0.000000
0.070408 14.202899 1.000000 0.000000
0.074490 13.424658 1.000000 0.000000
0.078571 12.727273 1.000000 0.000000
0.082653 12.098765 1.000000 0.000000
0.086735 11.529412 1.000000 0.000000
0.090816 11.011236 1.000000 0.000000
0.094898 10.537634 1.000000 0.000000
0.098980 10.103093 1.000000 0.000000
0.103061 9.702970 1.000000 0.000000
0.107143 9.333333 1.000000 0.000000
0.111224 8.990826 1.000000 0.000000
0.115306 8.672566 1.000000 0.000000
0.119388 8.376068 1.000000 0.000000
0.123469 8.099174 1.000000 0.000000
0.127551 7.840000 1.000000 0.000000
0.131633 7.596899 1.000000 0.000000
0.135714 7.368421 1.000000 0.000000
0.139796 7.153285 1.000000 0.000000
0.143878 6.950355 1.000000 0.000000
0.147959 6.758621 1.000000 0.000000
0.152041 6.577181 1.000000 0.000000
0.156122 6.405229 1.000000 0.000000
0.160204 6.242038 1.000000 0.000000
0.164286 6.086957 1.000000 0.000000
0.168367 5.939394 1.000000 0.000000
0.172449 5.798817 1.000000 0.000000
0.176531 5.664740 1.000000 0.000000
0.180612 5.536723 1.000000 0.000000
0.184694 5.414365 1.000000 0.000000
0.188776 5.297297 1.000000 0.000000
0.192857 5.185185 1.000000 0.000000
0.196939 5.077720 1.000000 0.000000
0.201020 4.974619 1.000000 0.000000
0.205102 4.875622 1.000000 0.000000
0.209184 4.780488 1.000000 0.000000
0.213265 4.688995 1.000000 0.000000
0.217347 4.600939 1.000000 0.000000
0.221429 4.516129 1.000000 0.000000
0.225510 4.434389 1.000000 0.000000
0.229592 4.355556 1.000000 0.000000
0.233673 4.279476 1.000000 0.000000
0.237755 4.206009 1.000000 0.000000
0.241837 4.135021 1.000000 0.000000
0.245918 4.066390 1.000000 0.000000
0.250000 4.000000 1.000000 0.000000
